"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
092,Renegade,7.3,10500,7/19,1,1,1,FULL,1,1,1
100,Rockslide,4.5,10960,7/06,1,1,1,1,1,1,1
049,Sandbeach Lake,4.2,10280,6/18,4,4,4,4,4,1,FULL
049G,Sandbeach Lake Group,4.2,10280,6/18,1,1,1,FULL,FULL,FULL,FULL
003,Silvanmere (WF),5.6,9360,6/04,2,2,2,2,2,2,1
053,Siskin,3.7,9600,6/01,FULL,FULL,FULL,FULL,FULL,FULL,FULL
110,Skeleton Gulch,6.2,10600,7/08,1,1,1,1,1,1,1
065,Slickrock,6,10000,6/22,1,FULL,1,FULL,FULL,FULL,FULL
101,Snowbird,4.6,11010,7/06,1,1,2,2,2,2,2
066,Solitaire,6.2,10120,6/28,1,FULL,1,1,1,1,FULL
031,Sourdough,2.5,10600,7/07,FULL,FULL,FULL,FULL,FULL,FULL,FULL
084,South Meadows,2,9450,6/13,1,FULL,FULL,FULL,FULL,FULL,FULL
ACC1,Sprague Lake Accessible Site (WF),0.5,8730,6/01,1,1,FULL,FULL,1,1,1
029,Spruce Lake,4.6,9670,6/24,FULL,FULL,1,FULL,1,1,1
029A,Spruce Lake Admin,4.6,9670,6/24,FULL,FULL,FULL,FULL,FULL,FULL,FULL
108,Stage Road,4.2,9530,6/16,NA,NA,NA,NA,NA,NA,NA
010,Stormy Peaks,11,10710,7/08,1,1,1,1,1,1,1
010G,Stormy Peaks Group,11,11160,7/13,NA,NA,NA,NA,NA,NA,NA
009,Stormy Peaks South,8.6,10840,7/05,1,1,1,1,1,1,1
008,Sugarloaf,8.2,10290,6/07,NA,NA,NA,NA,NA,NA,NA
069,Summerland Park,1.7,8620,5/19,FULL,1,1,1,1,FULL,FULL
069G,Summerland Park Group,1.5,8600,5/19,1,FULL,FULL,1,1,1,FULL
087,Sunrise,3.5,9600,6/11,FULL,FULL,FULL,FULL,FULL,FULL,FULL
086,Sunset,3,9550,6/15,1,1,FULL,FULL,FULL,1,FULL
051,Tahosa,1.7,9040,5/24,FULL,FULL,FULL,FULL,FULL,FULL,FULL
055,Thunder Lake,6.8,10570,7/05,FULL,FULL,FULL,FULL,FULL,FULL,FULL
055G,Thunder Lake Group,6.8,10570,7/05,1,1,1,1,FULL,FULL,1
055IS,Thunder Lake Stock,6.8,10570,7/05,1,1,1,1,1,1,1
018,Tileston Meadows,6.3,10800,6/24,NA,NA,NA,NA,NA,NA,NA
098,Timber Creek,3,10400,6/27,1,FULL,FULL,1,1,1,FULL
094G,Timberline Group,7.4,10570,7/09,1,1,1,1,1,1,1
091GS,Tonahutu Group/Stock (WF),6.6,10160,7/05,1,1,1,FULL,FULL,1,FULL
090,Tonahutu Meadows,6.2,10050,7/03,2,2,2,2,1,2,2
070,Twinberry,3,8680,5/25,FULL,FULL,FULL,FULL,1,FULL,FULL
019,Upper Chipmunk,4.2,10640,6/30,1,1,FULL,1,1,2,1
067,Upper East Inlet,6.6,10200,7/04,1,1,1,1,FULL,FULL,1
034,Upper Mill Creek,1.7,9200,5/22,FULL,FULL,FULL,FULL,1,FULL,FULL
096,Upper Onahu,2.8,9600,6/13,FULL,1,FULL,1,1,FULL,FULL
057,Upper Ouzel Creek,5.6,10600,7/06,1,1,FULL,FULL,FULL,FULL,FULL
